"","country","crop_type","site","colony_code","total_production","queenCocoon_production","wt_change","wt_max","wt_1","wt_2","wt_3","cropland_prop","cropland_prop_centered","pesticideRisk","pesticideRisk_log_centered","MCR","uniqueCompound_count"
"245","ITA","OSR",8,"ITA_OSR_08_B1",1199,334,1.08488209585621,1953,660,1110,1953,0.6643,0.502868431628528,22.5112951282598,0.00847509917816265,1.04787090597032,11
"246","ITA","OSR",8,"ITA_OSR_08_B2",1023,60,0.989013662255215,1554,578,843,1554,0.6643,0.502868431628528,22.5112951282598,0.00847509917816265,1.04787090597032,11
"247","ITA","OSR",8,"ITA_OSR_08_B3",922,94,0.860747962275452,1497,633,832,1497,0.6643,0.502868431628528,22.5112951282598,0.00847509917816265,1.04787090597032,11
"248","ITA","APP",9,"ITA_APP_09_B1",855,158,0.712341627816092,1315,645,645,1315,0.6598,0.482077324901771,921.745921720299,1.07734942913661,1.80769588531554,26
"249","ITA","APP",9,"ITA_APP_09_B2",167,6,0.218320944654279,724,582,598,724,0.6598,0.482077324901771,921.745921720299,1.07734942913661,1.80769588531554,26
"250","ITA","APP",9,"ITA_APP_09_B3",504,0,0.0543940720657988,680,644,618,680,0.6598,0.482077324901771,921.745921720299,1.07734942913661,1.80769588531554,26
"251","ITA","APP",10,"ITA_APP_10_B1",524,518,0.580872203473286,1153,645,644,1153,0.1093,-2.06136806467147,3514.41012520288,1.46313094400795,1.26324419246924,22
"252","ITA","APP",10,"ITA_APP_10_B2",428,75,0.303823288631166,916,676,647,916,0.1093,-2.06136806467147,3514.41012520288,1.46313094400795,1.26324419246924,22
"253","ITA","APP",10,"ITA_APP_10_B3",743,107,0.0469294322219834,698,666,634,698,0.1093,-2.06136806467147,3514.41012520288,1.46313094400795,1.26324419246924,22
"254","ITA","APP",11,"ITA_APP_11_B1",538,15,0.383060912354317,971,662,820,971,0.436,-0.551933716308929,29.376922051599,0.0849114898177284,2.1772257832568,13
"255","ITA","APP",11,"ITA_APP_11_B2",542,44,0.475072063816194,989,615,744,989,0.436,-0.551933716308929,29.376922051599,0.0849114898177284,2.1772257832568,13
"256","ITA","APP",11,"ITA_APP_11_B3",1452,71,0.936916366852471,1641,643,1214,1641,0.436,-0.551933716308929,29.376922051599,0.0849114898177284,2.1772257832568,13
"257","ITA","APP",12,"ITA_APP_12_B1",946,89,0.618920858207849,1207,650,694,1207,0.5129,-0.196636803578354,329.546875574833,0.780908055876139,1.02619927798486,14
"258","ITA","APP",12,"ITA_APP_12_B2",956,148,0.674455047547793,1272,648,672,1272,0.5129,-0.196636803578354,329.546875574833,0.780908055876139,1.02619927798486,14
"259","ITA","APP",12,"ITA_APP_12_B3",845,202,0.69473071216559,1264,631,720,1264,0.5129,-0.196636803578354,329.546875574833,0.780908055876139,1.02619927798486,14
"260","ITA","APP",13,"ITA_APP_13_B1",522,68,0.546957391063499,1099,636,719,1099,0.3401,-0.995015301885811,1224.54383929171,1.15922517840484,3.35138313911414,27
"261","ITA","APP",13,"ITA_APP_13_B2",895,61,0.916290731874155,1580,632,879,1580,0.3401,-0.995015301885811,1224.54383929171,1.15922517840484,3.35138313911414,27
"262","ITA","APP",13,"ITA_APP_13_B3",861,107,0.749069315866649,1379,652,911,1379,0.3401,-0.995015301885811,1224.54383929171,1.15922517840484,3.35138313911414,27
"263","ITA","APP",14,"ITA_APP_14_B1",481,59,0.357939966245319,904,632,769,904,0.2327,-1.4912297157644,286.838419883588,0.740909713584386,1.64606138683195,17
"264","ITA","APP",14,"ITA_APP_14_B2",778,28,0.437504461852781,999,645,769,999,0.2327,-1.4912297157644,286.838419883588,0.740909713584386,1.64606138683195,17
"265","ITA","APP",14,"ITA_APP_14_B3",544,18,0.367724780125317,897,621,669,897,0.2327,-1.4912297157644,286.838419883588,0.740909713584386,1.64606138683195,17
"266","ITA","APP",15,"ITA_APP_15_B1",517,125,0.56710645966458,1005,570,602,1005,0.4481,-0.49602874044365,26.5132599220272,0.0554511343709497,3.54450318815754,17
