IR1_190627_x,IR1_190627_y,IR2_190627_x,IR2_190627_y
544.8151,0.1516143,544.8151,0.1943125
545.2972,0.1520571,545.2972,0.1946793
545.7794,0.1527229,545.7794,0.1952304
546.2615,0.153613,546.2615,0.1960329
546.7437,0.154772,546.7437,0.1970871
547.2258,0.1562389,547.2258,0.1982699
547.7079,0.1579907,547.7079,0.1993284
548.1901,0.15992,548.1901,0.1999428
548.6722,0.1618523,548.6722,0.1998326
549.1544,0.1636083,549.1544,0.1988672
549.6365,0.1650758,549.6365,0.1971197
550.1187,0.1662575,550.1187,0.1948428
550.6008,0.1672625,550.6008,0.1923787
551.0829,0.1682481,551.0829,0.1900645
551.5651,0.1693347,551.5651,0.188176
552.0472,0.1705424,552.0472,0.186922
552.5293,0.1717672,552.5293,0.1864607
553.0115,0.1728155,553.0115,0.1869087
553.4936,0.1734795,553.4936,0.1883183
553.9757,0.1736253,553.9757,0.190632
554.4579,0.173259,554.4579,0.1936423
554.9400000000001,0.1725508,554.9400000000001,0.1969885
555.4221,0.17181,555.4221,0.2002169
555.9043,0.1714198,555.9043,0.2028985
556.3864,0.1717484,556.3864,0.2047762
556.8685,0.1730556,556.8685,0.2058646
557.3507,0.1754314,557.3507,0.2064463
557.8328,0.1787824,557.8328,0.2069555
558.3149,0.1828691,558.3149,0.2077989
558.7971,0.1873771,558.7971,0.2092087
559.2791999999999,0.1919984,559.2791999999999,0.2111809
559.7614,0.196506,559.7614,0.2135203
560.2435,0.2007939,560.2435,0.2159577
560.7256,0.2048714,560.7256,0.2182849
561.2078,0.2088056,561.2078,0.2204339
561.6899,0.2126452,561.6899,0.2224675
562.1721,0.2163569,562.1721,0.2244929
562.6541999999999,0.2198157,562.6541999999999,0.2265702
563.1364,0.222856,563.1364,0.2286718
563.6185,0.22537,563.6185,0.2307266
564.1006,0.227405,564.1006,0.2327211
564.5828,0.2292115,564.5828,0.2347948
565.0649,0.2312047,565.0649,0.2372595
565.547,0.2338627,565.547,0.2405186
566.0291999999999,0.2376052,566.0291999999999,0.2449133
566.5113,0.2427067,566.5113,0.2505697
566.9934,0.2492676,566.9934,0.257304
567.4756,0.257247,567.4756,0.2646499
567.9577,0.2665373,567.9577,0.2720116
568.4398,0.2770415,568.4398,0.2788989
568.922,0.2886961,568.922,0.2851129
569.4041,0.3014074,569.4041,0.2907689
569.8862,0.3149133,569.8862,0.2961325
570.3684,0.328638,570.3684,0.3013772
570.8505,0.3416278,570.8505,0.3063976
571.3326,0.3526501,571.3326,0.3107753
571.8148,0.360463,571.8148,0.3139062
572.2969000000001,0.3641582,572.2969000000001,0.3152224
572.7791,0.3633844,572.7791,0.3143758
573.2612,0.358333,573.2612,0.3112929
573.7433,0.3495341,573.7433,0.306093
574.2255,0.3376426,574.2255,0.2989686
574.7076,0.3233575,574.7076,0.2901299
575.1898,0.3074742,575.1898,0.2798542
575.6719000000001,0.2909449,575.6719000000001,0.2685822
576.1541,0.2748186,576.1541,0.2569536
576.6362,0.2600354,576.6362,0.2457132
577.1183,0.2471965,577.1183,0.2355236
577.6005,0.2364503,577.6005,0.2268033
578.0826,0.2275494,578.0826,0.2196683
578.5647,0.2200226,578.5647,0.2139763
579.0469000000001,0.2133859,579.0469000000001,0.2094265
579.529,0.2073145,579.529,0.2056696
580.0112,0.2017305,580.0112,0.2024019
580.4933,0.1967704,580.4933,0.1994269
580.9754,0.1926573,580.9754,0.1966702
581.4576,0.1895458,581.4576,0.1941576
581.9397,0.1874197,581.9397,0.1919775
582.4218,0.1860837,582.4218,0.1902523
582.904,0.1852347,582.904,0.1891254
